#proteinId,iprId,iprDesc,domainDb,domainId,domainDesc,numHits,domainStarts,domainEnds,score
1,IPR002529,"Fumarylacetoacetase, C-terminal",HMMPfam,PF01557,Fumarylacetoacetate (FAA) hydrolase family,1,"567,","779,",6.80E-57
2,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,SMART,SM00066,GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain,1,"21,","64,",9.10E-06
2,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,SUPERFAMILY,SSF57701,\N,1,"18,","62,",8.77E-09
3,IPR001199,Cytochrome b5-like heme/steroid binding domain,HMMPfam,PF00173,Cytochrome b5-like Heme/Steroid binding domain,1,"61,","135,",7.70E-17
3,IPR018506,"Cytochrome b5, heme-binding site",ProSitePatterns,PS00191,"Cytochrome b5 family, heme-binding domain signature.",1,"91,","98,",-
3,IPR001199,Cytochrome b5-like heme/steroid binding domain,ProSiteProfiles,PS50255,"Cytochrome b5 family, heme-binding domain profile.",1,"58,","136,",17.761
3,IPR001199,Cytochrome b5-like heme/steroid binding domain,SUPERFAMILY,SSF55856,\N,1,"54,","138,",2.22E-23
4,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,HMMPfam,PF00172,Fungal Zn(2)-Cys(6) binuclear cluster domain,1,"7,","46,",4.90E-06
4,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,ProSitePatterns,PS00463,Zn(2)-C6 fungal-type DNA-binding domain signature.,1,"7,","37,",-
4,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,ProSiteProfiles,PS50048,Zn(2)-C6 fungal-type DNA-binding domain profile.,1,"7,","39,",10.546
4,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,SMART,SM00066,GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain,1,"2,","48,",0.0011
4,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,SUPERFAMILY,SSF57701,\N,1,"4,","46,",1.16E-06
5,IPR011701,Major facilitator superfamily,HMMPfam,PF07690,Major Facilitator Superfamily,2,"27,224,","195,401,","1.0E-16,2.6E-13"
5,IPR020846,Major facilitator superfamily domain,SUPERFAMILY,SSF103473,\N,1,"5,","398,",8.63E-47
6,IPR004839,"Aminotransferase, class I/classII",HMMPfam,PF00155,Aminotransferase class I and II,1,"55,","457,",1.50E-41
6,\N,\N,PRINTS,PR00753,1-aminocyclopropane-1-carboxylate synthase signature,5,"116,201,237,278,310,","136,225,260,302,333,","4.4E-24,4.4E-24,4.4E-24,4.4E-24,4.4E-24"
6,IPR015424,Pyridoxal phosphate-dependent transferase,SUPERFAMILY,SSF53383,\N,1,"46,","462,",1.28E-66
7,\N,\N,SUPERFAMILY,SSF48452,\N,1,"382,","538,",4.01E-12
8,IPR004841,Amino acid permease/ SLC12A domain,HMMPfam,PF00324,Amino acid permease,1,"70,","535,",9.70E-135
8,IPR002293,Amino acid/polyamine transporter I,PIRSF,PIRSF006060,\N,1,"60,","553,",481
8,IPR004840,"Amino acid permease, conserved site",ProSitePatterns,PS00218,Amino acid permeases signature.,1,"95,","126,",-
9,IPR006175,YjgF/Yer057p/UK114 family,HMMPfam,PF01042,Endoribonuclease L-PSP,1,"17,","129,",7.30E-40
9,IPR019897,"YjgF-like protein, conserved site",ProSitePatterns,PS01094,Uncharacterized protein family UPF0076 signature.,1,"106,","124,",-
9,IPR013813,Endoribonuclease L-PSP/chorismate mutase-like,SUPERFAMILY,SSF55298,\N,1,"9,","128,",2.20E-38
9,IPR006056,Enamine/imine deaminase YjgF-like,TIGRFAM,TIGR00004,TIGR00004: reactive intermediate/imine deaminase,1,"11,","129,",2.20E-40
10,IPR010730,Heterokaryon incompatibility,HMMPfam,PF06985,Heterokaryon incompatibility protein (HET),1,"306,","394,",7.40E-08
11,IPR025213,Kinetochore Sim4 complex subunit Fta2,HMMPfam,PF13095,Kinetochore Sim4 complex subunit FTA2,1,"59,","230,",2.70E-35
12,IPR011701,Major facilitator superfamily,HMMPfam,PF07690,Major Facilitator Superfamily,1,"24,","420,",2.90E-40
12,IPR020846,Major facilitator superfamily domain,ProSiteProfiles,PS50850,Major facilitator superfamily (MFS) profile.,1,"19,","473,",28.222
12,IPR020846,Major facilitator superfamily domain,SUPERFAMILY,SSF103473,\N,2,"12,259,","201,466,","1.96E-48,1.96E-48"
14,IPR014801,"Mediator complex, subunit Med5, fungi",HMMPfam,PF08689,Mediator complex subunit Med5,2,"2,359,","345,676,","5.4E-9,2.6E-84"
15,IPR014790,"MutL, C-terminal, dimerisation",HMMPfam,PF08676,MutL C terminal dimerisation domain,1,"617,","682,",7.90E-11
15,\N,\N,HMMPfam,PF13589,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",1,"26,","122,",4.80E-15
15,IPR014790,"MutL, C-terminal, dimerisation",SMART,SM00853,MutL C terminal dimerisation domain,1,"596,","785,",1.70E-17
15,\N,\N,SUPERFAMILY,SSF118116,\N,2,"596,755,","681,816,","6.41E-8,7.45E-9"
15,IPR003594,"Histidine kinase-like ATPase, C-terminal domain",SUPERFAMILY,SSF55874,\N,1,"23,","212,",7.11E-22
16,IPR001451,Bacterial transferase hexapeptide repeat,HMMPfam,PF00132,Bacterial transferase hexapeptide (six repeats),2,"578,638,","613,670,","0.0024,1.4E-6"
16,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,HMMPfam,PF00172,Fungal Zn(2)-Cys(6) binuclear cluster domain,1,"178,","216,",2.00E-09
16,IPR024688,Maltose/galactoside acetyltransferase,HMMPfam,PF12464,Maltose acetyltransferase,1,"489,","539,",4.80E-08
16,IPR018357,"Hexapeptide transferase, conserved site",ProSitePatterns,PS00101,Hexapeptide-repeat containing-transferases signature.,1,"645,","673,",-
16,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,ProSitePatterns,PS00463,Zn(2)-C6 fungal-type DNA-binding domain signature.,1,"179,","207,",-
16,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,ProSiteProfiles,PS50048,Zn(2)-C6 fungal-type DNA-binding domain profile.,1,"179,","207,",10.645
16,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,SMART,SM00066,GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain,1,"174,","218,",2.90E-12
16,IPR011004,Trimeric LpxA-like,SUPERFAMILY,SSF51161,\N,1,"490,","675,",8.46E-25
16,IPR001138,Zn(2)-C6 fungal-type DNA-binding domain,SUPERFAMILY,SSF57701,\N,1,"171,","217,",6.41E-10
17,IPR001895,Ras guanine-nucleotide exchange factors catalytic domain,HMMPfam,PF00617,RasGEF domain,1,"763,","952,",1.60E-52
17,IPR000651,"Ras-like guanine nucleotide exchange factor, N-terminal",HMMPfam,PF00618,RasGEF N-terminal motif,1,"600,","684,",8.40E-16
17,IPR001452,SH3 domain,ProSiteProfiles,PS50002,Src homology 3 (SH3) domain profile.,1,"21,","87,",11.534
17,IPR001895,Ras guanine-nucleotide exchange factors catalytic domain,ProSiteProfiles,PS50009,Ras guanine-nucleotide exchange factors catalytic domain profile.,1,"766,","1009,",55.447
17,IPR000651,"Ras-like guanine nucleotide exchange factor, N-terminal",ProSiteProfiles,PS50212,Ras guanine-nucleotide exchange factors N-terminal domain profile.,1,"596,","716,",20.568
17,IPR001895,Ras guanine-nucleotide exchange factors catalytic domain,SMART,SM00147,Guanine nucleotide exchange factor for Ras-like small GTPases,1,"762,","1010,",4.70E-65
17,IPR000651,"Ras-like guanine nucleotide exchange factor, N-terminal",SMART,SM00229,Guanine nucleotide exchange factor for Ras-like GTPases; N-terminal motif,1,"595,","716,",5.90E-13
17,IPR001452,SH3 domain,SMART,SM00326,Src homology 3 domains,1,"24,","86,",2.00E-10
17,IPR023578,Ras guanine nucleotide exchange factor domain,SUPERFAMILY,SSF48366,\N,1,"590,","1012,",3.53E-100
17,IPR001452,SH3 domain,SUPERFAMILY,SSF50044,\N,1,"16,","95,",1.58E-12
18,IPR001841,"Zinc finger, RING-type",HMMPfam,PF13639,Ring finger domain,1,"239,","289,",4.80E-09
18,IPR001841,"Zinc finger, RING-type",ProSiteProfiles,PS50089,Zinc finger RING-type profile.,1,"241,","289,",10.586
18,IPR007527,"Zinc finger, SWIM-type",ProSiteProfiles,PS50966,Zinc finger SWIM-type profile.,1,"159,","191,",9.817
18,\N,\N,SUPERFAMILY,SSF57850,\N,1,"240,","296,",4.71E-12
19,IPR002524,Cation efflux protein,HMMPfam,PF01545,Cation efflux family,1,"162,","437,",3.00E-26
19,\N,\N,SUPERFAMILY,SSF160240,\N,1,"360,","437,",1.31E-08
19,\N,\N,SUPERFAMILY,SSF161111,\N,1,"154,","356,",5.10E-33
21,IPR002293,Amino acid/polyamine transporter I,HMMPfam,PF13520,Amino acid permease,1,"40,","482,",2.80E-55
21,IPR002293,Amino acid/polyamine transporter I,PIRSF,PIRSF006060,\N,1,"13,","511,",471
21,IPR004840,"Amino acid permease, conserved site",ProSitePatterns,PS00218,Amino acid permeases signature.,1,"67,","98,",-
21,IPR004756,Amino acid permease subfamily,TIGRFAM,TIGR00907,2A0304: amino acid permease,1,"24,","502,",1.40E-180
22,IPR003358,"tRNA (guanine-N-7) methyltransferase, Trmb type",HMMPfam,PF02390,Putative methyltransferase,1,"63,","284,",3.70E-49
22,IPR003358,"tRNA (guanine-N-7) methyltransferase, Trmb type",ProSiteProfiles,PS51625,SAM-dependent methyltransferase TRMB-type domain profile.,1,"38,","284,",55.968
22,IPR029063,S-adenosyl-L-methionine-dependent methyltransferase,SUPERFAMILY,SSF53335,\N,1,"91,","283,",5.74E-18
22,IPR003358,"tRNA (guanine-N-7) methyltransferase, Trmb type",TIGRFAM,TIGR00091,TIGR00091: tRNA (guanine-N(7)-)-methyltransferase,1,"87,","285,",7.40E-41
23,\N,\N,HMMPfam,PF00773,RNB domain,1,"512,","843,",1.30E-93
23,IPR002716,PIN domain,HMMPfam,PF13638,PIN domain,1,"88,","215,",1.20E-12
23,IPR022966,"Ribonuclease II/R, conserved site",ProSitePatterns,PS01175,Ribonuclease II family signature.,1,"813,","837,",-
23,IPR002716,PIN domain,SMART,SM00670,Large family of predicted nucleotide-binding domains,1,"85,","203,",1.00E-16
23,\N,\N,SMART,SM00955,\N,1,"512,","846,",5.80E-142
23,IPR012340,"Nucleic acid-binding, OB-fold",SUPERFAMILY,SSF50249,\N,4,"248,409,466,908,","338,460,895,987,","3.43E-41,3.43E-41,8.57E-125,1.88E-13"
23,IPR029060,PIN domain-like,SUPERFAMILY,SSF88723,\N,1,"85,","223,",2.35E-12
24,IPR011701,Major facilitator superfamily,HMMPfam,PF07690,Major Facilitator Superfamily,1,"101,","483,",1.60E-54
24,IPR020846,Major facilitator superfamily domain,ProSiteProfiles,PS50850,Major facilitator superfamily (MFS) profile.,1,"96,","523,",32.667
24,IPR020846,Major facilitator superfamily domain,SUPERFAMILY,SSF103473,\N,1,"79,","522,",8.76E-82
25,IPR003140,Phospholipase/carboxylesterase/thioesterase,HMMPfam,PF02230,Phospholipase/Carboxylesterase,1,"20,","251,",5.70E-31
25,IPR029058,Alpha/Beta hydrolase fold,SUPERFAMILY,SSF53474,\N,1,"13,","253,",8.17E-30
26,IPR000101,Gamma-glutamyltranspeptidase,HMMPfam,PF01019,Gamma-glutamyltranspeptidase,1,"80,","590,",2.10E-160
26,IPR000101,Gamma-glutamyltranspeptidase,PRINTS,PR01210,Gamma-glutamyltranspeptidase signature,9,"87,155,173,277,306,408,432,472,497,","112,173,192,293,325,426,450,487,514,","1.1E-65,1.1E-65,1.1E-65,1.1E-65,1.1E-65,1.1E-65,1.1E-65,1.1E-65,1.1E-65"
26,IPR029055,"Nucleophile aminohydrolases, N-terminal",SUPERFAMILY,SSF56235,\N,1,"63,","590,",1.52E-160
26,IPR000101,Gamma-glutamyltranspeptidase,TIGRFAM,TIGR00066,g_glut_trans: gamma-glutamyltransferase,1,"67,","589,",5.90E-118
27,IPR001789,"Signal transduction response regulator, receiver domain",HMMPfam,PF00072,Response regulator receiver domain,1,"741,","880,",5.10E-16
27,IPR003661,"Signal transduction histidine kinase EnvZ-like, dimerisation/phosphoacceptor domain",HMMPfam,PF00512,His Kinase A (phospho-acceptor) domain,1,"261,","322,",3.60E-06
27,IPR003594,"Histidine kinase-like ATPase, C-terminal domain",HMMPfam,PF02518,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",1,"531,","645,",1.70E-20
27,IPR004358,"Signal transduction histidine kinase-related protein, C-terminal",PRINTS,PR00344,Bacterial sensor protein C-terminal signature,4,"568,586,603,631,","582,596,621,644,","1.1E-11,1.1E-11,1.1E-11,1.1E-11"
27,IPR005467,"Signal transduction histidine kinase, core",ProSiteProfiles,PS50109,Histidine kinase domain profile.,1,"531,","647,",25.827
27,IPR001789,"Signal transduction response regulator, receiver domain",ProSiteProfiles,PS50110,Response regulatory domain profile.,1,"739,","887,",24.238
27,IPR003594,"Histidine kinase-like ATPase, C-terminal domain",SMART,SM00387,Histidine kinase-like ATPases,1,"530,","647,",1.70E-25
27,IPR001789,"Signal transduction response regulator, receiver domain",SMART,SM00448,cheY-homologous receiver domain,1,"738,","883,",1.40E-23
27,IPR009082,"Signal transduction histidine kinase, homodimeric domain",SUPERFAMILY,SSF47384,\N,1,"252,","312,",8.04E-07
27,IPR011006,CheY-like superfamily,SUPERFAMILY,SSF52172,\N,1,"736,","886,",2.13E-25
27,IPR003594,"Histidine kinase-like ATPase, C-terminal domain",SUPERFAMILY,SSF55874,\N,1,"518,","645,",3.80E-25
28,IPR007274,Ctr copper transporter,HMMPfam,PF04145,Ctr copper transporter family,1,"46,","183,",4.30E-43
29,IPR013130,Ferric reductase transmembrane component-like domain,HMMPfam,PF01794,Ferric reductase like transmembrane component,1,"180,","301,",7.90E-22
29,IPR013112,FAD-binding 8,HMMPfam,PF08022,FAD-binding domain,1,"361,","461,",3.20E-13
29,IPR013121,"Ferric reductase, NAD binding",HMMPfam,PF08030,Ferric reductase NAD binding domain,1,"471,","641,",1.30E-15
29,IPR017927,Ferredoxin reductase-type FAD-binding domain,ProSiteProfiles,PS51384,Ferredoxin reductase-type FAD binding domain profile.,1,"346,","465,",10.963
29,\N,\N,SUPERFAMILY,SSF52343,\N,2,"453,605,","553,643,","4.77E-12,4.77E-12"
29,IPR017938,Riboflavin synthase-like beta-barrel,SUPERFAMILY,SSF63380,\N,1,"362,","406,",7.73E-05
30,IPR015413,Methionyl/Leucyl tRNA synthetase,HMMPfam,PF09334,tRNA synthetases class I (M),1,"60,","427,",2.20E-115
30,IPR014758,Methionyl-tRNA synthetase,PRINTS,PR01041,Methionyl-tRNA synthetase signature,6,"62,95,143,290,323,415,","75,109,154,301,338,426,","2.0E-28,2.0E-28,2.0E-28,2.0E-28,2.0E-28,2.0E-28"
30,IPR009080,"Aminoacyl-tRNA synthetase, class 1a, anticodon-binding",SUPERFAMILY,SSF47323,\N,2,"416,469,","440,587,","5.61E-20,5.61E-20"
30,\N,\N,SUPERFAMILY,SSF52374,\N,1,"57,","412,",3.38E-98
30,IPR014758,Methionyl-tRNA synthetase,TIGRFAM,TIGR00398,metG: methionine--tRNA ligase,1,"60,","577,",1.20E-130
31,IPR001926,Tryptophan synthase beta subunit-like PLP-dependent enzyme,HMMPfam,PF00291,Pyridoxal-phosphate dependent enzyme,1,"15,","322,",4.90E-62
31,IPR000634,"Serine/threonine dehydratase, pyridoxal-phosphate-binding site",ProSitePatterns,PS00165,Serine/threonine dehydratases pyridoxal-phosphate attachment site.,1,"37,","50,",-
31,IPR001926,Tryptophan synthase beta subunit-like PLP-dependent enzyme,SUPERFAMILY,SSF53686,\N,1,"12,","332,",9.82E-68
32,IPR013057,"Amino acid transporter, transmembrane",HMMPfam,PF01490,Transmembrane amino acid transporter protein,1,"365,","746,",1.30E-82
33,IPR004841,Amino acid permease/ SLC12A domain,HMMPfam,PF00324,Amino acid permease,1,"157,","635,",9.70E-55
34,IPR001892,Ribosomal protein S13,HMMPfam,PF00416,Ribosomal protein S13/S18,1,"4,","108,",4.00E-22
34,IPR001892,Ribosomal protein S13,PIRSF,PIRSF002134,\N,1,"1,","118,",123
34,IPR018269,"Ribosomal protein S13, conserved site",ProSitePatterns,PS00646,Ribosomal protein S13 signature.,1,"87,","100,",-
34,IPR001892,Ribosomal protein S13,ProSiteProfiles,PS50159,Ribosomal protein S13 family profile.,1,"4,","111,",26.417
34,IPR010979,"Ribosomal protein S13-like, H2TH",SUPERFAMILY,SSF46946,\N,1,"2,","114,",6.90E-35
35,IPR002130,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain,HMMPfam,PF00160,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,1,"40,","194,",1.40E-47
35,IPR002130,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain,PRINTS,PR00153,Cyclophilin peptidyl-prolyl cis-trans isomerase signature,5,"56,85,128,143,156,","71,97,143,155,171,","1.8E-38,1.8E-38,1.8E-38,1.8E-38,1.8E-38"
35,IPR020892,"Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site",ProSitePatterns,PS00170,Cyclophilin-type peptidyl-prolyl cis-trans isomerase signature.,1,"80,","97,",-
35,IPR002130,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain,ProSiteProfiles,PS50072,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain profile.,1,"39,","196,",46.328
35,IPR029000,Cyclophilin-like domain,SUPERFAMILY,SSF50891,\N,1,"33,","200,",1.90E-73
37,IPR011545,DEAD/DEAH box helicase domain,HMMPfam,PF00270,DEAD/DEAH box helicase,1,"205,","389,",2.70E-45
37,IPR001650,"Helicase, C-terminal",HMMPfam,PF00271,Helicase conserved C-terminal domain,1,"457,","533,",3.90E-27
37,IPR000629,"ATP-dependent RNA helicase DEAD-box, conserved site",ProSitePatterns,PS00039,DEAD-box subfamily ATP-dependent helicases signature.,1,"343,","351,",-
37,IPR014001,"Helicase superfamily 1/2, ATP-binding domain",ProSiteProfiles,PS51192,Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.,1,"212,","401,",30.591
37,IPR001650,"Helicase, C-terminal",ProSiteProfiles,PS51194,Superfamilies 1 and 2 helicase C-terminal domain profile.,1,"412,","572,",25.109
37,IPR014014,"RNA helicase, DEAD-box type, Q motif",ProSiteProfiles,PS51195,DEAD-box RNA helicase Q motif profile.,1,"181,","209,",10.321
37,IPR014001,"Helicase superfamily 1/2, ATP-binding domain",SMART,SM00487,DEAD-like helicases superfamily,1,"200,","416,",2.40E-62
37,IPR001650,"Helicase, C-terminal",SMART,SM00490,helicase superfamily c-terminal domain,1,"452,","533,",3.30E-33
37,IPR027417,P-loop containing nucleoside triphosphate hydrolase,SUPERFAMILY,SSF52540,\N,1,"266,","552,",3.01E-78
38,IPR023210,NADP-dependent oxidoreductase domain,HMMPfam,PF00248,Aldo/keto reductase family,1,"31,","340,",1.70E-70
38,IPR023210,NADP-dependent oxidoreductase domain,SUPERFAMILY,SSF51430,\N,1,"22,","340,",7.20E-81
39,IPR017905,ERV/ALR sulfhydryl oxidase domain,HMMPfam,PF04777,Erv1 / Alr family,1,"80,","164,",3.10E-25
39,IPR017905,ERV/ALR sulfhydryl oxidase domain,ProSiteProfiles,PS51324,ERV/ALR sulfhydryl oxidase domain profile.,1,"71,","171,",28.537
39,IPR017905,ERV/ALR sulfhydryl oxidase domain,SUPERFAMILY,SSF69000,\N,1,"70,","178,",3.53E-38
40,IPR001544,"Aminotransferase, class IV",HMMPfam,PF01063,Aminotransferase class IV,1,"84,","333,",5.70E-23
40,IPR005786,Branched-chain amino acid aminotransferase II,PIRSF,PIRSF006468,\N,1,"1,","357,",369
40,IPR001544,"Aminotransferase, class IV",SUPERFAMILY,SSF56752,\N,1,"6,","352,",1.20E-82
40,IPR005786,Branched-chain amino acid aminotransferase II,TIGRFAM,TIGR01123,ilvE_II: branched-chain amino acid aminotransferase,1,"41,","355,",8.60E-83
42,IPR000533,Tropomyosin,HMMPfam,PF12718,Tropomyosin like,1,"11,","152,",1.10E-48
42,\N,\N,SUPERFAMILY,SSF57997,\N,1,"8,","161,",3.92E-21
43,IPR019186,Nucleolar protein 12,HMMPfam,PF09805,Nucleolar protein 12 (25kDa),1,"6,","135,",2.30E-39
44,IPR001163,Ribonucleoprotein LSM domain,HMMPfam,PF01423,LSM domain,1,"8,","91,",3.50E-19
44,IPR006649,"Ribonucleoprotein LSM domain, eukaryotic/archaea-type",SMART,SM00651,snRNP Sm proteins,1,"6,","92,",5.60E-22
44,IPR010920,Like-Sm (LSM) domain,SUPERFAMILY,SSF50182,\N,1,"7,","141,",3.27E-24
45,IPR002132,Ribosomal protein L5,HMMPfam,PF00281,Ribosomal protein L5,1,"10,","63,",9.70E-21
45,IPR002132,Ribosomal protein L5,HMMPfam,PF00673,ribosomal L5P family C-terminus,1,"67,","165,",2.70E-23
45,IPR002132,Ribosomal protein L5,PIRSF,PIRSF002161,\N,1,"2,","173,",189
45,IPR020929,"Ribosomal protein L5, conserved site",ProSitePatterns,PS00358,Ribosomal protein L5 signature.,1,"40,","56,",-
45,IPR022803,Ribosomal protein L5 domain,SUPERFAMILY,SSF55282,\N,1,"9,","174,",6.83E-59
48,IPR000504,RNA recognition motif domain,HMMPfam,PF00076,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",1,"77,","118,",2.00E-06
48,IPR013979,"Translation initiation factor, beta propellor-like domain",HMMPfam,PF08662,Eukaryotic translation initiation factor eIF2A,1,"406,","629,",1.40E-36
48,IPR011400,Eukaryotic translation initiation factor 3 subunit B,PIRSF,PIRSF036424,\N,1,"3,","744,",706
48,IPR000504,RNA recognition motif domain,ProSiteProfiles,PS50102,Eukaryotic RNA Recognition Motif (RRM) profile.,1,"40,","128,",10.838
48,IPR000504,RNA recognition motif domain,SMART,SM00360,RNA recognition motif,1,"41,","124,",0.0057
48,\N,\N,SUPERFAMILY,SSF54928,\N,1,"62,","128,",1.26E-09
48,\N,\N,SUPERFAMILY,SSF82171,\N,2,"168,399,","343,600,","3.92E-23,3.92E-23"
49,IPR003121,SWIB/MDM2 domain,HMMPfam,PF02201,SWIB/MDM2 domain,1,"204,","276,",7.50E-25
49,IPR014876,"DEK, C-terminal",HMMPfam,PF08766,DEK C terminal domain,1,"26,","70,",9.40E-13
49,IPR019835,SWIB domain,SMART,SM00151,"SWI complex, BAF60b domains",1,"203,","283,",2.60E-34
49,\N,\N,SUPERFAMILY,SSF109715,\N,1,"25,","68,",2.48E-07
49,IPR003121,SWIB/MDM2 domain,SUPERFAMILY,SSF47592,\N,1,"196,","282,",6.54E-27
50,IPR007087,"Zinc finger, C2H2",ProSitePatterns,PS00028,Zinc finger C2H2 type domain signature.,2,"223,298,","246,319,","-,-"
50,IPR001841,"Zinc finger, RING-type",ProSiteProfiles,PS50089,Zinc finger RING-type profile.,1,"131,","171,",9.494
50,IPR015880,"Zinc finger, C2H2-like",SMART,SM00355,zinc finger,4,"221,296,320,352,","246,319,351,381,","0.018,10.0,44.0,33.0"
50,\N,\N,SUPERFAMILY,SSF57850,\N,1,"123,","177,",1.16E-07
51,IPR007219,"Transcription factor domain, fungi",HMMPfam,PF04082,Fungal specific transcription factor domain,1,"26,","268,",1.90E-14
51,IPR007219,"Transcription factor domain, fungi",SMART,SM00906,Fungal specific transcription factor domain,1,"118,","201,",5.50E-11
52,IPR007219,"Transcription factor domain, fungi",HMMPfam,PF04082,Fungal specific transcription factor domain,1,"26,","268,",1.90E-14
52,IPR007219,"Transcription factor domain, fungi",SMART,SM00906,Fungal specific transcription factor domain,1,"118,","201,",5.50E-11
53,IPR007219,"Transcription factor domain, fungi",HMMPfam,PF04082,Fungal specific transcription factor domain,1,"26,","268,",1.90E-14
53,IPR007219,"Transcription factor domain, fungi",SMART,SM00906,Fungal specific transcription factor domain,1,"118,","201,",5.50E-11
55,IPR011701,Major facilitator superfamily,HMMPfam,PF07690,Major Facilitator Superfamily,1,"67,","432,",8.10E-34
55,IPR020846,Major facilitator superfamily domain,ProSiteProfiles,PS50850,Major facilitator superfamily (MFS) profile.,1,"63,","509,",11.952
55,IPR020846,Major facilitator superfamily domain,SUPERFAMILY,SSF103473,\N,1,"40,","484,",3.40E-76
56,IPR024722,"BIG/ATPase V1 complex, subunit S1",HMMPfam,PF05827,Vacuolar ATP synthase subunit S1 (ATP6S1),1,"22,","279,",3.30E-42
57,IPR000591,DEP domain,HMMPfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",1,"230,","301,",4.40E-10
57,IPR001060,FCH domain,HMMPfam,PF00611,"Fes/CIP4, and EFC/F-BAR homology domain",1,"18,","111,",1.40E-12
57,IPR000198,Rho GTPase-activating protein domain,HMMPfam,PF00620,RhoGAP domain,1,"523,","662,",6.30E-14
57,IPR001060,FCH domain,ProSiteProfiles,PS50133,FCH domain profile.,1,"14,","95,",9.076
57,IPR000591,DEP domain,ProSiteProfiles,PS50186,DEP domain profile.,1,"242,","311,",9.867
57,IPR000198,Rho GTPase-activating protein domain,ProSiteProfiles,PS50238,Rho GTPase-activating proteins domain profile.,1,"480,","687,",22.99
57,IPR001060,FCH domain,SMART,SM00055,Fes/CIP4 homology domain,1,"18,","111,",3.00E-06
57,IPR000198,Rho GTPase-activating protein domain,SMART,SM00324,GTPase-activator protein for Rho-like GTPases,1,"491,","684,",8.70E-14
57,\N,\N,SUPERFAMILY,SSF103657,\N,2,"15,352,","182,470,","1.05E-44,1.05E-44"
57,\N,\N,SUPERFAMILY,SSF46785,\N,1,"216,","314,",8.16E-14
57,IPR008936,Rho GTPase activation protein,SUPERFAMILY,SSF48350,\N,1,"477,","687,",8.24E-31
58,IPR015793,"Pyruvate kinase, barrel",HMMPfam,PF00224,"Pyruvate kinase, barrel domain",1,"30,","377,",1.10E-168
