#transcriptId,proteinId,kogid,kogdefline,kogClass,kogGroup
1104,1104,KOG0533,RRM motif-containing protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1124,1124,KOG1049,"Polyadenylation factor I complex, subunit FIP1",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1144,1144,KOG4046,"RNase MRP and P, subunit POP4/p29",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1150,1150,KOG0348,ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1262,1262,KOG3322,Ribonucleases P/MRP protein subunit,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1290,1290,KOG0343,RNA Helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1303,1303,KOG1689,mRNA cleavage factor I subunit,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1304,1304,KOG1689,mRNA cleavage factor I subunit,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1312,1312,KOG2749,"mRNA cleavage and polyadenylation factor IA/II complex, subunit CLP1",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1379,1379,KOG1070,rRNA processing protein Rrp5,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1386,1386,KOG2047,mRNA splicing factor,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1388,1388,KOG4206,Spliceosomal protein snRNP-U1A/U2B,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1421,1421,KOG0113,U1 small nuclear ribonucleoprotein (RRM superfamily),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1430,1430,KOG0816,Protein involved in mRNA turnover,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1439,1439,KOG3172,Small nuclear ribonucleoprotein Sm D3,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1492,1492,KOG1098,Putative SAM-dependent rRNA methyltransferase SPB1,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1570,1570,KOG1908,Ribonuclease inhibitor type leucine-rich repeat proteins,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1615,1615,KOG2636,"Splicing factor 3a, subunit 3",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1656,1656,KOG1782,Small Nuclear ribonucleoprotein splicing factor,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1700,1700,KOG0106,Alternative splicing factor SRp55/B52/SRp75 (RRM superfamily),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1734,1734,KOG0345,ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1748,1748,KOG2044,5'-3' exonuclease HKE1/RAT1,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1794,1794,KOG2051,Nonsense-mediated mRNA decay 2 protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1908,1908,KOG2572,Ribosome biogenesis protein - Nop58p/Nop5p,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1921,1921,KOG0123,Polyadenylate-binding protein (RRM superfamily),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1930,1930,KOG2769,Putative u4/u6 small nuclear ribonucleoprotein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1938,1938,KOG0268,Sof1-like rRNA processing protein (contains WD40 repeats),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1958,1958,KOG3117,Protein involved in rRNA processing,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1969,1969,KOG0342,ATP-dependent RNA helicase pitchoune,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
1990,1990,KOG0330,ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2048,2048,KOG3242,Oligoribonuclease (3'->5' exoribonuclease),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2057,2057,KOG0342,ATP-dependent RNA helicase pitchoune,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2076,2076,KOG0123,Polyadenylate-binding protein (RRM superfamily),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2186,2186,KOG1994,"Predicted RNA binding protein, contains G-patch and Zn-finger domains",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2266,2266,KOG0701,dsRNA-specific nuclease Dicer and related ribonucleases,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2277,2277,KOG4150,Predicted ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2281,2281,KOG2863,RNA lariat debranching enzyme,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2294,2294,KOG1774,Small nuclear ribonucleoprotein E,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2400,2400,KOG2651,rRNA adenine N-6-methyltransferase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2401,2401,KOG0291,WD40-repeat-containing subunit of the 18S rRNA processing complex,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2411,2411,KOG3909,Queuine-tRNA ribosyltransferase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2470,2470,KOG1040,"Polyadenylation factor I complex, subunit, Yth1 (CPSF subunit)",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2507,2507,KOG1817,Ribonuclease,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2512,2512,KOG2330,"Splicing factor 3b, subunit 2",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2573,2573,KOG3068,mRNA splicing factor,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2658,2658,KOG2573,Ribosome biogenesis protein - Nop56p/Sik1p,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2673,2673,KOG1122,tRNA and rRNA cytosine-C5-methylase (nucleolar protein NOL1/NOP2),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2727,2727,KOG0265,U5 snRNP-specific protein-like factor and related proteins,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2774,2774,KOG0988,RNA-directed RNA polymerase QDE-1 required for posttranscriptional gene silencing and RNA interference,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2800,2800,KOG0007,"Splicing factor 3a, subunit 1",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
2989,2989,KOG0338,ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
3077,3077,KOG2771,Subunit of tRNA-specific adenosine-34 deaminase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
3180,3180,KOG0988,RNA-directed RNA polymerase QDE-1 required for posttranscriptional gene silencing and RNA interference,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
3192,3192,KOG0132,"RNA polymerase II C-terminal domain-binding protein RA4, contains RPR and RRM domains",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
3255,3255,KOG0108,"mRNA cleavage and polyadenylation factor I complex, subunit RNA15",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
3256,3256,KOG0108,"mRNA cleavage and polyadenylation factor I complex, subunit RNA15",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
3298,3298,KOG1644,U2-associated snRNP A' protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
3419,3419,KOG2441,mRNA splicing factor/probable chromatin binding snw family nuclear protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
3476,3476,KOG1475,Ribosomal protein RPL1/RPL2/RL4L4,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
3753,3753,KOG0948,"Nuclear exosomal RNA helicase MTR4, DEAD-box superfamily",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
3854,3854,KOG1996,mRNA splicing factor,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
3922,3922,KOG4209,"Splicing factor RNPS1, SR protein superfamily",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
3925,3925,KOG1784,Small Nuclear ribonucleoprotein splicing factor,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
3960,3960,KOG1801,tRNA-splicing endonuclease positive effector (SEN1),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
3997,3997,KOG0127,Nucleolar protein fibrillarin NOP77 (RRM superfamily),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4044,4044,KOG1856,Transcription elongation factor SPT6,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4092,4092,KOG0334,RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4110,4110,KOG0227,"Splicing factor 3a, subunit 2",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4123,4123,KOG2412,Nuclear-export-signal (NES)-containing protein/polyadenylated-RNA export factor,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4154,4154,KOG2793,"Putative N2,N2-dimethylguanosine tRNA methyltransferase",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4157,4157,KOG3801,Uncharacterized conserved protein BCN92,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4204,4204,KOG0150,Spliceosomal protein FBP21,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4369,4369,KOG2600,U3 small nucleolar ribonucleoprotein (snoRNP) subunit - Mpp10p,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4374,4374,KOG2574,mRNA splicing factor PRP31,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4375,4375,KOG2574,mRNA splicing factor PRP31,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4376,4376,KOG3392,"Exon-exon junction complex, Magoh component",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4388,4388,KOG0063,"RNAse L inhibitor, ABC superfamily",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4419,4419,KOG2375,Protein interacting with poly(A)-binding protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4421,4421,KOG2138,"Predicted RNA binding protein, contains G-patch domain",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4422,4422,KOG2138,"Predicted RNA binding protein, contains G-patch domain",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4435,4435,KOG3911,Nucleolar protein NOP52/RRP1,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4460,4460,KOG0152,Spliceosomal protein FBP11/Splicing factor PRP40,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4461,4461,KOG0152,Spliceosomal protein FBP11/Splicing factor PRP40,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4545,4545,KOG2202,"U2 snRNP splicing factor, small subunit, and related proteins",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4565,4565,KOG4008,rRNA processing protein RRP7,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4630,4630,KOG2217,U4/U6.U5 snRNP associated protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4716,4716,KOG2245,Poly(A) polymerase and related nucleotidyltransferases,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4743,4743,KOG2808,U5 snRNP-associated RNA splicing factor,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4778,4778,KOG0350,DEAD-box ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4895,4895,KOG1869,"Splicing coactivator SRm160/300, subunit SRm300",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4931,4931,KOG1104,"Nuclear cap-binding complex, subunit NCBP1/CBP80",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
4932,4932,KOG0131,"Splicing factor 3b, subunit 4",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5034,5034,KOG2953,mRNA-binding protein Encore,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5043,5043,KOG0329,ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5055,5055,KOG2837,Protein containing a U1-type Zn-finger and implicated in RNA splicing or processing ,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5071,5071,KOG1960,"Predicted RNA-binding protein, contains KH domains",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5078,5078,KOG2162,Nonsense-mediated mRNA decay protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5102,5102,KOG1795,U5 snRNP spliceosome subunit,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5117,5117,KOG1137,"mRNA cleavage and polyadenylation factor II complex, BRR5 (CPSF subunit)",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5128,5128,KOG0304,mRNA deadenylase subunit,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5143,5143,KOG2780,"Ribosome biogenesis protein RPF1, contains IMP4 domain",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5228,5228,KOG1801,tRNA-splicing endonuclease positive effector (SEN1),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5245,5245,KOG0926,DEAH-box RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5449,5449,KOG1898,"Splicing factor 3b, subunit 3",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5450,5450,KOG1898,"Splicing factor 3b, subunit 3",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5455,5455,KOG2793,"Putative N2,N2-dimethylguanosine tRNA methyltransferase",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5461,5461,KOG1781,Small Nuclear ribonucleoprotein splicing factor,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5462,5462,KOG3741,Poly(A) ribonuclease subunit,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5518,5518,KOG0647,mRNA export protein (contains WD40 repeats),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5561,5561,KOG0922,DEAH-box RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5562,5562,KOG0922,DEAH-box RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5581,5581,KOG2146,"Splicing coactivator SRm160/300, subunit SRm160 (contains PWI domain)",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5632,5632,KOG1914,"mRNA cleavage and polyadenylation factor I complex, subunit RNA14",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5667,5667,KOG0920,ATP-dependent RNA helicase A,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5669,5669,KOG3482,Small nuclear ribonucleoprotein (snRNP) SMF,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5692,5692,KOG3064,RNA-binding nuclear protein (MAK16) containing a distinct C4 Zn-finger,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5774,5774,KOG2731,DNA alkylation damage repair protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5937,5937,KOG1642,"Ribonuclease, T2 family",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5980,5980,KOG1902,Putative signal transduction protein involved in RNA splicing,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
5992,5992,KOG1596,Fibrillarin and related nucleolar RNA-binding proteins,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6003,6003,KOG0344,ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6088,6088,KOG2609,Cyclin D-interacting protein GCIP,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6102,6102,KOG0120,"Splicing factor U2AF, large subunit (RRM superfamily)",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6140,6140,KOG0284,"Polyadenylation factor I complex, subunit PFS2",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6144,6144,KOG0335,ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6187,6187,KOG0123,Polyadenylate-binding protein (RRM superfamily),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6225,6225,KOG2669,Regulator of nuclear mRNA,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6245,6245,KOG3702,Nuclear polyadenylated RNA binding protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6249,6249,KOG0922,DEAH-box RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6318,6318,KOG1676,K-homology type RNA binding proteins,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6352,6352,KOG0347,RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6366,6366,KOG3428,Small nuclear ribonucleoprotein SMD1 and related snRNPs,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6369,6369,KOG0108,"mRNA cleavage and polyadenylation factor I complex, subunit RNA15",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6478,6478,KOG0331,ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6484,6484,KOG2190,PolyC-binding proteins alphaCP-1 and related KH domain proteins,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6640,6640,KOG0326,ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6693,6693,KOG0342,ATP-dependent RNA helicase pitchoune,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6743,6743,KOG0113,U1 small nuclear ribonucleoprotein (RRM superfamily),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6762,6762,KOG1127,TPR repeat-containing protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6830,6830,KOG4212,RNA-binding protein hnRNP-M,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6835,6835,KOG1642,"Ribonuclease, T2 family",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6855,6855,KOG0335,ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6866,6866,KOG2386,"mRNA capping enzyme, guanylyltransferase (alpha) subunit",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6876,6876,KOG3013,"Exosomal 3'-5' exoribonuclease complex, subunit Rrp4",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6916,6916,KOG3408,"U1-like Zn-finger-containing protein, probabl erole in RNA processing/splicing",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6946,6946,KOG0213,"Splicing factor 3b, subunit 1",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6947,6947,KOG0213,"Splicing factor 3b, subunit 1",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
6986,6986,KOG0838,"RNA Methylase, SpoU family",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7021,7021,KOG3454,U1 snRNP-specific protein C,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7048,7048,KOG0128,RNA-binding protein SART3 (RRM superfamily),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7049,7049,KOG0128,RNA-binding protein SART3 (RRM superfamily),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7064,7064,KOG1802,RNA helicase nonsense mRNA reducing factor (pNORF1),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7139,7139,KOG2793,"Putative N2,N2-dimethylguanosine tRNA methyltransferase",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7143,7143,KOG3980,RNA 3'-terminal phosphate cyclase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7148,7148,KOG0951,"RNA helicase BRR2, DEAD-box superfamily",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7183,7183,KOG3387,"60S ribosomal protein 15.5kD/SNU13, NHP2/L7A family (includes ribonuclease P subunit p38), involved in splicing",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7211,7211,KOG1780,Small Nuclear ribonucleoprotein G,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7287,7287,KOG0952,"DNA/RNA helicase MER3/SLH1, DEAD-box superfamily",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7327,7327,KOG4209,"Splicing factor RNPS1, SR protein superfamily",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7402,7402,KOG3045,Predicted RNA methylase involved in rRNA processing,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7480,7480,KOG2190,PolyC-binding proteins alphaCP-1 and related KH domain proteins,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7509,7509,KOG1295,Nonsense-mediated decay protein Upf3,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7536,7536,KOG0050,mRNA splicing protein CDC5 (Myb superfamily),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7601,7601,KOG0123,Polyadenylate-binding protein (RRM superfamily),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7623,7623,KOG3763,mRNA export factor TAP/MEX67,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7735,7735,KOG0923,mRNA splicing factor ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7842,7842,KOG0272,U4/U6 small nuclear ribonucleoprotein Prp4 (contains WD40 repeats),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7843,7843,KOG1895,"mRNA cleavage and polyadenylation factor II complex, subunit PTA1",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7865,7865,KOG3448,Predicted snRNP core protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7872,7872,KOG0123,Polyadenylate-binding protein (RRM superfamily),RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7912,7912,KOG2078,tRNA modification enzyme,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7913,7913,KOG2078,tRNA modification enzyme,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7914,7914,KOG2078,tRNA modification enzyme,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
7963,7963,KOG4655,U3 small nucleolar ribonucleoprotein (snoRNP) component,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
8043,8043,KOG0924,mRNA splicing factor ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
8070,8070,KOG1909,Ran GTPase-activating protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
8099,8099,KOG0346,RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
8231,8231,KOG3908,Queuine-tRNA ribosyltransferase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
8240,8240,KOG0331,ATP-dependent RNA helicase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
8284,8284,KOG1135,"mRNA cleavage and polyadenylation factor II complex, subunit CFT2 (CPSF subunit)",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
8288,8288,KOG1609,Protein involved in mRNA turnover and stability,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
8316,8316,KOG1975,mRNA cap methyltransferase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
8350,8350,KOG2386,"mRNA capping enzyme, guanylyltransferase (alpha) subunit",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
8362,8362,KOG0796,Spliceosome subunit,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
8441,8441,KOG2868,Decapping enzyme complex component DCP1,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
8452,8452,KOG2634,Initiator tRNA phosphoribosyl-transferase,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
8486,8486,KOG0952,"DNA/RNA helicase MER3/SLH1, DEAD-box superfamily",RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
8499,8499,KOG2217,U4/U6.U5 snRNP associated protein,RNA processing and modification  ,INFORMATION STORAGE AND PROCESSING
