#proteinId,ecNum,definition,catalyticActivity,cofactors,associatedDiseases,pathway,pathway_class,pathway_type
6,4.4.1.14,1-aminocyclopropane-1-carboxylate synthase.,S-adenosyl-L-methionine = 1-aminocyclopropane-1-carboxylate + methylthioadenosine.,Pyridoxal-phosphate.,\N,Propanoate metabolism,Carbohydrate Metabolism,METABOLIC
58,2.7.1.40,Pyruvate kinase.,ATP + pyruvate = ADP + phosphoenolpyruvate.,\N,Hemolytic anemia due to pyruvate kinase deficiency; MIM:266200.,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism,METABOLIC
58,2.7.1.40,Pyruvate kinase.,ATP + pyruvate = ADP + phosphoenolpyruvate.,\N,Hemolytic anemia due to pyruvate kinase deficiency; MIM:266200.,Carbon fixation,Energy Metabolism,METABOLIC
58,2.7.1.40,Pyruvate kinase.,ATP + pyruvate = ADP + phosphoenolpyruvate.,\N,Hemolytic anemia due to pyruvate kinase deficiency; MIM:266200.,Pyruvate metabolism,Carbohydrate Metabolism,METABOLIC
62,1.1.1.87,3-carboxy-2-hydroxyadipate dehydrogenase.,3-carboxy-2-hydroxyadipate + NAD(+) = 2-oxoadipate + CO(2) + NADH.,\N,\N,\N,\N,\N
66,2.5.1.18,Glutathione transferase.,RX + glutathione = HX + R-S-glutathione.,\N,\N,Glutathione metabolism,Metabolism of Other Amino Acids,METABOLIC
68,3.4.13.19,Membrane dipeptidase.,"Hydrolysis of dipeptides. Hydrophobic dipeptides are cleaved preferentially, including prolyl amino acids.",Zinc.,\N,\N,\N,\N
86,1.1.1.8,Glycerol-3-phosphate dehydrogenase (NAD+).,Sn-glycerol 3-phosphate + NAD(+) = glycerone phosphate + NADH.,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
91,5.4.2.8,Phosphomannomutase.,D-mannose 1-phosphate = D-mannose 6-phosphate.,\N,\N,Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC
92,3.4.11.-,Aminopeptidases.,\N,\N,\N,\N,\N,\N
95,1.1.1.41,Isocitrate dehydrogenase (NAD+).,Isocitrate + NAD(+) = 2-oxoglutarate + CO(2) + NADH.,\N,\N,Citrate cycle (TCA cycle),Carbohydrate Metabolism,METABOLIC
99,3.4.25.1,Proteasome endopeptidase complex.,Cleavage at peptide bonds with very broad specificity.,\N,\N,\N,\N,\N
104,1.3.1.9,Enoyl-[acyl-carrier protein] reductase (NADH).,"Acyl-[acyl-carrier protein] + NAD(+) = trans-2,3-dehydroacyl-[acyl- carrier protein] + NADH.",\N,\N,Fatty acid biosynthesis (path 1),Lipid Metabolism,METABOLIC
110,3.4.25.1,Proteasome endopeptidase complex.,Cleavage at peptide bonds with very broad specificity.,\N,\N,\N,\N,\N
117,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Bile acid biosynthesis,Lipid Metabolism,METABOLIC
117,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Tyrosine metabolism,Amino Acid Metabolism,METABOLIC
117,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
117,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism,METABOLIC
117,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Fatty acid metabolism,Lipid Metabolism,METABOLIC
120,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Bile acid biosynthesis,Lipid Metabolism,METABOLIC
120,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Vitamin B6 metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
120,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC
120,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC
120,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC
120,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Galactose metabolism,Carbohydrate Metabolism,METABOLIC
120,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Lysine degradation,Amino Acid Metabolism,METABOLIC
120,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Nucleotide sugars metabolism,Nucleotide Metabolism,METABOLIC
120,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Ascorbate and aldarate metabolism,Carbohydrate Metabolism,METABOLIC
120,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Tetrachloroethene degradation,Biodegradation of Xenobiotics,METABOLIC
120,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
120,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
124,3.2.1.113,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase.","Hydrolysis of the terminal 1,2-linked alpha-D-mannose residues in the oligo-mannose oligosaccharide Man(9)(GlcNAc)(2).",\N,\N,N-Glycans biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
125,3.5.99.5,2-aminomuconate deaminase.,2-aminomuconate + H(2)O = 4-oxalocrotonate + NH(3).,\N,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
126,1.1.1.102,3-dehydrosphinganine reductase.,Sphinganine + NADP(+) = 3-dehydrosphinganine + NADPH.,\N,\N,Sphingoglycolipid metabolism,Metabolism of Complex Lipids,METABOLIC
130,1.3.5.1,Succinate dehydrogenase (ubiquinone).,Succinate + ubiquinone = fumarate + ubiquinol.,FAD; Iron-sulfur.,\N,Citrate cycle (TCA cycle),Carbohydrate Metabolism,METABOLIC
130,1.3.5.1,Succinate dehydrogenase (ubiquinone).,Succinate + ubiquinone = fumarate + ubiquinol.,FAD; Iron-sulfur.,\N,Oxidative phosphorylation,Energy Metabolism,METABOLIC
132,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Bile acid biosynthesis,Lipid Metabolism,METABOLIC
132,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Vitamin B6 metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
132,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC
132,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Butanoate metabolism,Carbohydrate Metabolism,METABOLIC
132,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC
132,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Galactose metabolism,Carbohydrate Metabolism,METABOLIC
132,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Lysine degradation,Amino Acid Metabolism,METABOLIC
132,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Nucleotide sugars metabolism,Nucleotide Metabolism,METABOLIC
132,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Ascorbate and aldarate metabolism,Carbohydrate Metabolism,METABOLIC
132,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Tetrachloroethene degradation,Biodegradation of Xenobiotics,METABOLIC
132,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
132,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
133,3.6.1.3,Adenosinetriphosphatase.,ATP + H(2)O = ADP + phosphate.,\N,Hemolytic anemia due to deficiency of adenosine triphosphatase; MIM:102800.,Purine metabolism,Nucleotide Metabolism,METABOLIC
137,2.7.1.67,1-phosphatidylinositol 4-kinase.,ATP + 1-phosphatidyl-1D-myo-inositol = ADP + 1-phosphatidyl-1D-myo- inositol 4-phosphate.,\N,\N,Inositol phosphate metabolism,Metabolism of Complex Lipids,METABOLIC
139,3.4.17.21,Glutamate carboxypeptidase II.,"Release of an unsubstituted, C-terminal glutamyl residue, typically from Ac-Asp-Glu or folylpoly-gamma-glutamates.",Zinc.,\N,\N,\N,\N
140,4.1.1.6,Aconitate decarboxylase.,Cis-aconitate = itaconate + CO(2).,\N,\N,C5-Branched dibasic acid metabolism,Carbohydrate Metabolism,METABOLIC
144,3.1.3.56,"Inositol-1,4,5-trisphosphate 5-phosphatase.","D-myo-inositol 1,4,5-trisphosphate + H(2)O = D-myo-inositol 1,4-bisphosphate + phosphate.",\N,\N,Inositol phosphate metabolism,Metabolism of Complex Lipids,METABOLIC
159,5.5.1.4,Myo-inositol-1-phosphate synthase.,D-glucose 6-phosphate = 1L-myo-inositol 1-phosphate.,NAD.,\N,Inositol phosphate metabolism,Metabolism of Complex Lipids,METABOLIC
159,5.5.1.4,Myo-inositol-1-phosphate synthase.,D-glucose 6-phosphate = 1L-myo-inositol 1-phosphate.,NAD.,\N,Streptomycin biosynthesis,Biosynthesis of Secondary Metabolites,METABOLIC
165,1.14.13.9,Kynurenine 3-monooxygenase.,L-kynurenine + NADPH + O(2) = 3-hydroxy-L-kynurenine + NADP(+) + H(2)O.,FAD.,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
172,2.5.1.18,Glutathione transferase.,RX + glutathione = HX + R-S-glutathione.,\N,\N,Glutathione metabolism,Metabolism of Other Amino Acids,METABOLIC
173,2.4.1.50,Procollagen galactosyltransferase.,UDP-galactose + procollagen 5-hydroxy-L-lysine = UDP + procollagen 5-(galactosyloxy)-L-lysine.,\N,\N,Lysine degradation,Amino Acid Metabolism,METABOLIC
175,4.1.1.44,4-carboxymuconolactone decarboxylase.,"2-carboxy-2,5-dihydro-5-oxofuran-2-acetate = 4,5-dihydro-5-oxofuran-2- acetate + CO(2).",\N,\N,Benzoate degradation via hydroxylation,Biodegradation of Xenobiotics,METABOLIC
176,1.1.1.31,3-hydroxyisobutyrate dehydrogenase.,3-hydroxy-2-methylpropanoate + NAD(+) = 2-methyl-3-oxopropanoate + NADH.,\N,3-hydroxyisobutyricaciduria; MIM:236795.,"Valine, leucine and isoleucine degradation",Amino Acid Metabolism,METABOLIC
177,1.10.3.3,L-ascorbate oxidase.,2 L-ascorbate + O(2) = 2 dehydroascorbate + 2 H(2)O.,Copper.,\N,Ascorbate and aldarate metabolism,Carbohydrate Metabolism,METABOLIC
183,6.2.1.12,4-coumarate--CoA ligase.,ATP + 4-coumarate + CoA = AMP + diphosphate + 4-coumaroyl-CoA.,\N,\N,"Flavonoids, stilbene and lignin biosynthesis",Biosynthesis of Secondary Metabolites,METABOLIC
184,2.1.2.2,Phosphoribosylglycinamide formyltransferase.,10-formyltetrahydrofolate + 5'-phosphoribosylglycinamide = tetrahydrofolate + 5'-phosphoribosyl-N-formylglycinamide.,\N,\N,Purine metabolism,Nucleotide Metabolism,METABOLIC
184,2.1.2.2,Phosphoribosylglycinamide formyltransferase.,10-formyltetrahydrofolate + 5'-phosphoribosylglycinamide = tetrahydrofolate + 5'-phosphoribosyl-N-formylglycinamide.,\N,\N,One carbon pool by folate,Metabolism of Cofactors and Vitamins,METABOLIC
190,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Bile acid biosynthesis,Lipid Metabolism,METABOLIC
190,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Tyrosine metabolism,Amino Acid Metabolism,METABOLIC
190,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
190,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism,METABOLIC
190,1.1.1.1,Alcohol dehydrogenase.,An alcohol + NAD(+) = an aldehyde or ketone + NADH.,Zinc or Iron.,\N,Fatty acid metabolism,Lipid Metabolism,METABOLIC
194,3.1.1.5,Lysophospholipase.,2-lysophosphatidylcholine + H(2)O = glycerophosphocholine + a fatty acid anion.,\N,\N,Phospholipid degradation,Metabolism of Complex Lipids,METABOLIC
198,3.4.11.5,Prolyl aminopeptidase.,Release of a N-terminal proline from a peptide.,Manganese.,\N,Arginine and proline metabolism,Amino Acid Metabolism,METABOLIC
203,1.10.3.2,Laccase.,4 benzenediol + O(2) = 4 benzosemiquinone + 2 H(2)O.,Copper.,\N,\N,\N,\N
206,3.1.2.2,Palmitoyl-CoA hydrolase.,Palmitoyl-CoA + H(2)O = CoA + palmitate.,\N,\N,\N,\N,\N
211,5.3.4.1,Protein disulfide isomerase.,Rearrangement of both intrachain and interchain disulfide bonds in proteins to form the native structures.,\N,\N,\N,\N,\N
215,2.3.1.22,2-acylglycerol O-acyltransferase.,Acyl-CoA + 2-acylglycerol = CoA + diacylglycerol.,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
216,3.4.23.18,Aspergillopepsin I.,"Hydrolysis of proteins with broad specificity. Generally favors hydrophobic residues in P1 and P1', but also accepts Lys in P1, which leads to activation of trypsinogen. Does not clot milk.",\N,\N,\N,\N,\N
218,5.3.1.23,5-methylthioribose-1-phosphate isomerase.,5-methylthio-5-deoxy-D-ribose 1-phosphate = 5-methylthio-5-deoxy-D- ribulose 1-phosphate.,\N,\N,\N,\N,\N
224,3.5.1.16,Acetylornithine deacetylase.,N2-acetyl-L-ornithine + H(2)O = acetate + L-ornithine.,\N,\N,Urea cycle and metabolism of amino groups,Amino Acid Metabolism,METABOLIC
225,3.4.19.12,Ubiquitinyl hydrolase 1.,"Thiol-dependent hydrolysis of ester, thiolester, amide, peptide and isopeptide bonds formed by the C-terminal Gly of ubiquitin (a 76-residue protein attached to proteins as an intracellular targeting signal).",\N,\N,\N,\N,\N
230,3.4.25.1,Proteasome endopeptidase complex.,Cleavage at peptide bonds with very broad specificity.,\N,\N,\N,\N,\N
247,4.1.1.65,Phosphatidylserine decarboxylase.,Phosphatidyl-L-serine = phosphatidylethanolamine + CO(2).,Pyridoxal-phosphate or Pyruvate.,\N,"Glycine, serine and threonine metabolism",Amino Acid Metabolism,METABOLIC
247,4.1.1.65,Phosphatidylserine decarboxylase.,Phosphatidyl-L-serine = phosphatidylethanolamine + CO(2).,Pyridoxal-phosphate or Pyruvate.,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
248,3.2.1.101,"Mannan endo-1,6-beta-mannosidase.","Random hydrolysis of 1,6-beta-D-mannosidic linkages in unbranched 1,6-mannans.",\N,\N,\N,\N,\N
258,3.1.3.48,Protein-tyrosine-phosphatase.,Protein tyrosine phosphate + H(2)O = protein tyrosine + phosphate.,\N,\N,\N,\N,\N
261,2.5.1.21,Farnesyl-diphosphate farnesyltransferase.,2 farnesyl diphosphate = diphosphate + presqualene diphosphate.,\N,\N,Sterol biosynthesis,Lipid Metabolism,METABOLIC
261,2.5.1.21,Farnesyl-diphosphate farnesyltransferase.,2 farnesyl diphosphate = diphosphate + presqualene diphosphate.,\N,\N,Terpenoid biosynthesis,Biosynthesis of Secondary Metabolites,METABOLIC
264,2.7.7.7,DNA-directed DNA polymerase.,N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).,\N,\N,Purine metabolism,Nucleotide Metabolism,METABOLIC
264,2.7.7.7,DNA-directed DNA polymerase.,N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).,\N,\N,  DNA polymerase,REPLICATION AND REPAIR,REGULATORY
264,2.7.7.7,DNA-directed DNA polymerase.,N deoxynucleoside triphosphate = N diphosphate + {DNA}(N).,\N,\N,Pyrimidine metabolism,Nucleotide Metabolism,METABOLIC
270,2.4.1.-,Hexosyltransferases.,\N,\N,\N,O-Glycans biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
270,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Fructose and mannose metabolism,Carbohydrate Metabolism,METABOLIC
270,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Peptidoglycan biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
270,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Sphingoglycolipid metabolism,Metabolism of Complex Lipids,METABOLIC
270,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Blood group glycolipid biosynthesis - lact series,Metabolism of Complex Lipids,METABOLIC
270,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Blood group glycolipid biosynthesis - neolact series,Metabolism of Complex Lipids,METABOLIC
270,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
270,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Globoside metabolism,Metabolism of Complex Lipids,METABOLIC
270,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Chondroitin / heparan sulfate biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
270,2.4.1.-,Hexosyltransferases.,\N,\N,\N,Keratan sulfate biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
270,2.4.1.-,Hexosyltransferases.,\N,\N,\N,N-Glycans biosynthesis,Metabolism of Complex Carbohydrates,METABOLIC
273,6.1.1.5,Isoleucine--tRNA ligase.,ATP + L-isoleucine + tRNA(Ile) = AMP + diphosphate + L-isoleucyl- tRNA(Ile).,\N,\N,"Valine, leucine and isoleucine biosynthesis",Amino Acid Metabolism,METABOLIC
273,6.1.1.5,Isoleucine--tRNA ligase.,ATP + L-isoleucine + tRNA(Ile) = AMP + diphosphate + L-isoleucyl- tRNA(Ile).,\N,\N,  Aminoacyl-tRNA biosynthesis,TRANSLATION,REGULATORY
277,3.4.11.18,Methionyl aminopeptidase.,"Release of N-terminal amino acids, preferentially methionine, from peptides and arylamides.",Cobalt.,\N,\N,\N,\N
278,3.6.3.29,Molybdate-transporting ATPase.,ATP + H(2)O + molybdate(Out) = ADP + phosphate + molybdate(In).,\N,\N,\N,\N,\N
285,3.2.2.-,Hydrolyzing N-glycosyl compounds.,\N,\N,\N,\N,\N,\N
287,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
287,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Benzoate degradation via CoA ligation,Biodegradation of Xenobiotics,METABOLIC
287,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Cyanoamino acid metabolism,Metabolism of Other Amino Acids,METABOLIC
287,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Phenylalanine metabolism,Amino Acid Metabolism,METABOLIC
287,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Arginine and proline metabolism,Amino Acid Metabolism,METABOLIC
287,3.5.1.4,Amidase.,A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).,\N,\N,Styrene degradation,Biodegradation of Xenobiotics,METABOLIC
299,3.1.1.3,Triacylglycerol lipase.,Triacylglycerol + H(2)O = diacylglycerol + a fatty acid anion.,\N,Hepatic lipase deficiency; MIM:151670. Congenital lipase deficiency; MIM:246600. Wolman disease; MIM:278000.,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
300,3.6.1.-,In phosphorous-containing anhydrides.,\N,\N,\N,Starch and sucrose metabolism,Metabolism of Complex Carbohydrates,METABOLIC
300,3.6.1.-,In phosphorous-containing anhydrides.,\N,\N,\N,Folate biosynthesis,Metabolism of Cofactors and Vitamins,METABOLIC
310,1.14.14.1,Unspecific monooxygenase.,RH + reduced flavoprotein + O(2) = ROH + oxidized flavoprotein + H(2)O.,Heme-thiolate.,\N,Tryptophan metabolism,Amino Acid Metabolism,METABOLIC
310,1.14.14.1,Unspecific monooxygenase.,RH + reduced flavoprotein + O(2) = ROH + oxidized flavoprotein + H(2)O.,Heme-thiolate.,\N,Fatty acid metabolism,Lipid Metabolism,METABOLIC
310,1.14.14.1,Unspecific monooxygenase.,RH + reduced flavoprotein + O(2) = ROH + oxidized flavoprotein + H(2)O.,Heme-thiolate.,\N,gamma-Hexachlorocyclohexane degradation,Biodegradation of Xenobiotics,METABOLIC
317,3.5.1.52,Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase.,"Hydrolysis of an N4-(acetyl-beta-D-glucosaminyl)asparagine residue in which the N-acetyl-D-glucosamine residue may be further glycosylated, to yield a (substituted) N-acetyl-beta-D-glucosaminylamine and the peptide containing an aspartic residue.",\N,\N,\N,\N,\N
324,3.6.3.8,Calcium-transporting ATPase.,ATP + H(2)O + Ca(2+)(Cis) = ADP + phosphate + Ca(2+)(Trans).,Magnesium.,Darier disease; MIM:124200. Benign chronic pemphigus; MIM:169600.,\N,\N,\N
356,2.7.1.36,Mevalonate kinase.,ATP + (R)-mevalonate = ADP + (R)-5-phosphomevalonate.,\N,Mevalonicaciduria; MIM:251170.,Sterol biosynthesis,Lipid Metabolism,METABOLIC
361,6.4.1.1,Pyruvate carboxylase.,ATP + pyruvate + HCO(3)(-) = ADP + phosphate + oxaloacetate.,Biotin; Manganese or Zinc.,Pyruvate carboxylase deficiency; MIM:266150.,Alanine and aspartate metabolism,Amino Acid Metabolism,METABOLIC
361,6.4.1.1,Pyruvate carboxylase.,ATP + pyruvate + HCO(3)(-) = ADP + phosphate + oxaloacetate.,Biotin; Manganese or Zinc.,Pyruvate carboxylase deficiency; MIM:266150.,Citrate cycle (TCA cycle),Carbohydrate Metabolism,METABOLIC
361,6.4.1.1,Pyruvate carboxylase.,ATP + pyruvate + HCO(3)(-) = ADP + phosphate + oxaloacetate.,Biotin; Manganese or Zinc.,Pyruvate carboxylase deficiency; MIM:266150.,Pyruvate metabolism,Carbohydrate Metabolism,METABOLIC
373,5.1.3.15,Glucose-6 phosphate 1-epimerase.,Alpha-D-glucose 6-phosphate = beta-D-glucose 6-phosphate.,\N,\N,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism,METABOLIC
380,2.8.1.6,Biotin synthase.,Dethiobiotin + sulfur = biotin.,Iron-sulfur.,\N,Biotin metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
389,1.1.2.4,D-lactate dehydrogenase (cytochrome).,(R)-lactate + 2 ferricytochrome c = pyruvate + 2 ferrocytochrome c.,FAD.,\N,Pyruvate metabolism,Carbohydrate Metabolism,METABOLIC
390,1.6.5.5,NADPH:quinone reductase.,NADPH + quinone = NADP(+) + semiquinone.,Zinc.,\N,\N,\N,\N
396,6.3.2.19,Ubiquitin--protein ligase.,ATP + ubiquitin + protein lysine = AMP + diphosphate + protein N-ubiquityllysine.,\N,\N,\N,\N,\N
400,2.6.1.62,Adenosylmethionine--8-amino-7-oxononanoate aminotransferase.,"S-adenosyl-L-methionine + 8-amino-7-oxononanoate = S-adenosyl-4- methylthio-2-oxobutanoate + 7,8-diaminononanoate.",Pyridoxal-phosphate.,\N,Biotin metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
401,2.3.1.47,8-amino-7-oxononanoate synthase.,6-carboxyhexanoyl-CoA + L-alanine = 8-amino-7-oxononanoate + CoA + CO(2).,Pyridoxal-phosphate.,\N,Biotin metabolism,Metabolism of Cofactors and Vitamins,METABOLIC
406,2.4.2.17,ATP phosphoribosyltransferase.,1-(5-phospho-D-ribosyl)-ATP + diphosphate = ATP + 5-phospho-alpha- D-ribose 1-diphosphate.,\N,\N,Histidine metabolism,Amino Acid Metabolism,METABOLIC
411,3.1.1.23,Acylglycerol lipase.,Hydrolyses glycerol monoesters of long-chain fatty acids.,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC
412,3.4.25.1,Proteasome endopeptidase complex.,Cleavage at peptide bonds with very broad specificity.,\N,\N,\N,\N,\N
